r,time,v_theta_sim,v_theta_analytical_t0,v_theta_analytical_tfin
0.0077333333333333325,30.0,0.014467369695970251,0.01546377647862493,0.006186204202009305
0.03866666666666666,30.0,0.03220931169946122,0.07697313763084156,0.030875594331291792
0.054133333333333325,30.0,0.04862768494004327,0.10728123392613535,0.04314842006066083
0.0696,30.0,0.06428162811771032,0.13711389636699797,0.05534420337472609
0.08506666666666665,30.0,0.07823887377239126,0.16634336488088888,0.06744145753886514
0.10053333333333332,30.0,0.08705460439935161,0.19484776488965766,0.07941908533310482
0.11599999999999999,30.0,0.10101430819502609,0.2225122274027084,0.09125646063303075
0.13146666666666665,30.0,0.114281657382436,0.2492299026962175,0.10293350707063813
0.1469333333333333,30.0,0.12702234879423213,0.2749028536919152,0.11443077330383672
0.1624,30.0,0.1376157204115696,0.2994428176187504,0.12572950445199108
0.17786666666666665,30.0,0.15010209265627733,0.32277182720270803,0.13681170928710906
0.1933333333333333,30.0,0.16326645534860326,0.3448226854158362,0.14766022280572327
0.20879999999999999,30.0,0.17633073440849825,0.3655392906551092,0.15825876384479315
0.22426666666666664,30.0,0.1888144436626389,0.3848768120454449,0.16859198744564402
0.2397333333333333,30.0,0.19881482058418715,0.40280171730180325,0.178645531712686
0.2552,30.0,0.2080860646425793,0.4192916581799597,0.1884060589579137
0.2706666666666666,30.0,0.21847095679185255,0.43433522093752674,0.19786129096758487
0.2861333333333333,30.0,0.22880428977075246,0.4479315513668885,0.20700003827351487
0.3016,30.0,0.23733128247146235,0.4600898658094287,0.2158122233576621
0.3170666666666666,30.0,0.24560094509343103,0.47082886108482047,0.22428889776466882
0.3325333333333333,30.0,0.25526449001025836,0.4801760374493151,0.2324222531423198
0.348,30.0,0.26440250334148496,0.48816694952214795,0.24020562627405306
0.3634666666666666,30.0,0.2718463164425107,0.4948444005886417,0.24763349821032538
0.3789333333333333,30.0,0.27851828815150215,0.5002575958109977,0.2547014876463922
0.3944,30.0,0.2857954378529889,0.5044612696705381,0.26140633873258645
0.4098666666666666,30.0,0.2923643862253483,0.5075148024533452,0.26774590353913724
