r,time,v_theta_sim,v_theta_analytical_t0,v_theta_analytical_tfin
0.0077333333333333325,30.0,0.02927405708385663,0.01546377647862493,0.006186204202009305
0.03866666666666666,30.0,0.06981482489065803,0.07697313763084156,0.030875594331291792
0.054133333333333325,30.0,0.10731299836084675,0.10728123392613535,0.04314842006066083
0.0696,30.0,0.14284594579187304,0.13711389636699797,0.05534420337472609
0.08506666666666665,30.0,0.1715015739017759,0.16634336488088888,0.06744145753886514
0.10053333333333332,30.0,0.19030460784568298,0.19484776488965766,0.07941908533310482
0.11599999999999999,30.0,0.21892843251418442,0.2225122274027084,0.09125646063303075
0.13146666666666665,30.0,0.24661971562669396,0.2492299026962175,0.10293350707063813
0.1469333333333333,30.0,0.27210836776067493,0.2749028536919152,0.11443077330383672
0.1624,30.0,0.2935218702968082,0.2994428176187504,0.12572950445199108
0.17786666666666665,30.0,0.3175536537607073,0.32277182720270803,0.13681170928710906
0.1933333333333333,30.0,0.34168189649945085,0.3448226854158362,0.14766022280572327
0.20879999999999999,30.0,0.36458965025245027,0.3655392906551092,0.15825876384479315
0.22426666666666664,30.0,0.38572352505206375,0.3848768120454449,0.16859198744564402
0.2397333333333333,30.0,0.4025664611570836,0.40280171730180325,0.178645531712686
0.2552,30.0,0.41664776955399435,0.4192916581799597,0.1884060589579137
0.2706666666666666,30.0,0.43200700551368554,0.43433522093752674,0.19786129096758487
0.2861333333333333,30.0,0.4461640546964108,0.4479315513668885,0.20700003827351487
0.3016,30.0,0.45705155284840265,0.4600898658094287,0.2158122233576621
0.3170666666666666,30.0,0.4673375200163875,0.47082886108482047,0.22428889776466882
0.3325333333333333,30.0,0.4778496964949147,0.4801760374493151,0.2324222531423198
0.348,30.0,0.48676932626612174,0.48816694952214795,0.24020562627405306
0.3634666666666666,30.0,0.4932471645507825,0.4948444005886417,0.24763349821032538
0.3789333333333333,30.0,0.49822928139285994,0.5002575958109977,0.2547014876463922
0.3944,30.0,0.5028550291783414,0.5044612696705381,0.26140633873258645
0.4098666666666666,30.0,0.5060357816427142,0.5075148024533452,0.26774590353913724
0.4253333333333333,30.0,0.5079492558187602,0.5094813398063296,0.27371911943069493
0.44079999999999997,30.0,0.509033482613451,0.5104269283694319,0.2793259816357654
0.4562666666666666,30.0,0.5090460116401662,0.5104196792722421,0.28456751132301916
0.4717333333333333,30.0,0.5082958419213192,0.5095289699124792,0.289445719519757
0.48719999999999997,30.0,0.506694351534598,0.5078246929530228,0.29396356722756734
0.5026666666666666,30.0,0.5044627057854982,0.5053765599266045,0.2981249221063343
0.5181333333333333,30.0,0.5014473388905104,0.5022534652642757,0.30193451211019967
0.5335999999999999,30.0,0.49761543024378885,0.4985229150040373,0.30539787646786576
0.5490666666666666,30.0,0.49333588084188307,0.4942505229246528,0.3085213144047856
0.5645333333333333,30.0,0.48845416724292334,0.48949957541740974,0.3113118320064119
0.5799999999999998,30.0,0.4835582819073231,0.4843306650813849,0.31377708761987394
0.5954666666666666,30.0,0.478540424486727,0.47880139182646997,0.3159253361863866
0.6109333333333333,30.0,0.47258073305007425,0.4729661292085485,0.31776537288852524
0.6263999999999998,30.0,0.4660987106799352,0.4668758528132504,0.31930647648545246
0.6418666666666666,30.0,0.46023854075936904,0.46057802675405396,0.3205583526954657
0.6573333333333333,30.0,0.4542712270526916,0.4541165437580126,0.3215310779691057
0.6727999999999998,30.0,0.4472220681777824,0.4475317138747211,0.3222350439777753
0.6882666666666666,30.0,0.4400880228510496,0.4408602965544005,0.3226809031226525
0.7037333333333333,30.0,0.43363896755592163,0.43413557068919706,0.3228795153469043
0.7191999999999998,30.0,0.42734466078881095,0.42738743718562644,0.3228418965111134
0.7346666666666666,30.0,0.4203167325902758,0.42064254872143697,0.32257916856769936
0.7501333333333333,30.0,0.41345987843769383,0.4139244615217211,0.3221025117452268
0.7655999999999998,30.0,0.40714446099312,0.40725380425100105,0.32142311892812514
0.7810666666666666,30.0,0.4009009868080121,0.40064845944431376,0.320552152391761
0.7965333333333333,30.0,0.394164991781598,0.39412375327543603,0.31950070302725647
0.8119999999999998,30.0,0.3874260016168073,0.38769264986955393,0.31827975216518073
0.8274666666666666,30.0,0.3811388549589112,0.3813659467971647,0.3169001360824761
0.8429333333333333,30.0,0.37505181330305826,0.3751524688234367,0.31537251325292115
0.8583999999999998,30.0,0.3692697666228468,0.36905925742173934,0.31370733437826914
0.8738666666666666,30.0,0.36309204979077864,0.3630917539823007,0.3119148152150983
0.8893333333333333,30.0,0.3570429436630179,0.3572539750492691,0.3100049121915097
0.9047999999999998,30.0,0.35131715915448425,0.35154867829577235,0.30798730078824305
0.9202666666666666,30.0,0.34606804630282256,0.3459775182923552,0.3058713566406367
0.9357333333333333,30.0,0.34074848266791663,0.3405411914363392,0.3036661393012395
0.9511999999999998,30.0,0.33522797943199384,0.3352395696863806,0.3013803785878171
0.9666666666666666,30.0,0.32974518184899887,0.3300718229871938,0.2990224634280553
0.9821333333333333,30.0,0.3251847569006101,0.32503653047439457,0.2966004331004424
0.9975999999999998,30.0,0.32065110254139084,0.3201317807198954,0.2941219707606236
1.0130666666666666,30.0,0.3154345901764058,0.315355261416102,0.2915943991339488
1.0285333333333333,30.0,0.31034287650063586,0.3107043390046577,0.28902467824794087
1.0439999999999998,30.0,0.30572187623449343,0.3061761288353704,0.28641940507295166
1.0594666666666666,30.0,0.30175357687440296,0.30176755649616155,0.2837848149352958
1.074933333333333,30.0,0.29759041225432636,0.29747541098842956,0.2811267845645695
1.0903999999999998,30.0,0.29312702098449483,0.29329639043715033,0.2784508366356154
1.1058666666666666,30.0,0.28915559326738766,0.2892271410243167,0.2757621456655769
1.1213333333333333,30.0,0.28557245939827636,0.28526428982073687,0.27306554512761744
1.1367999999999998,30.0,0.28168821238292413,0.2814044721674055,0.27036553564505195
1.1522666666666666,30.0,0.2776785339414363,0.27764435422600164,0.26766629413275567
1.167733333333333,30.0,0.27385813254863317,0.2739806512807016,0.2649716837566709
1.1831999999999998,30.0,0.2703635791519594,0.27041014233227817,0.26228526458691886
1.1986666666666665,30.0,0.2669792052035153,0.266929681482023,0.2596103048253482
1.2141333333333333,30.0,0.2635368272091819,0.26353620655870297,0.2569497924941979
1.2295999999999998,30.0,0.2601453463053434,0.26022674539768154,0.2543064474788353
1.2450666666666665,30.0,0.2568899030439301,0.25699842013837004,0.25168273382414547
1.260533333333333,30.0,0.2539129707179879,0.2538484498650195,0.2490808721910133
1.2759999999999998,30.0,0.25095800790537265,0.25077415187701285,0.24650285238635986
1.2914666666666665,30.0,0.24783480209635864,0.2477729418386303,0.24395044588730724
1.3069333333333333,30.0,0.24473352254365296,0.2448423330249327,0.2414252182871556
1.3223999999999998,30.0,0.24191783209980167,0.24197993485005403,0.23892854159792012
1.3378666666666665,30.0,0.2393068557102965,0.23918345083681514,0.23646160635111385
1.353333333333333,30.0,0.2365664482012303,0.23645067616210533,0.23402543344523663
1.3687999999999998,30.0,0.23370556169659926,0.23377949489080976,0.2316208856949833
1.3842666666666665,30.0,0.23099637902224054,0.23116787699203234,0.2292486790434856
1.3997333333333333,30.0,0.22864269771145534,0.2286138752147863,0.2269093934049095
1.4151999999999998,30.0,0.226164532530181,0.22611562188600368,0.2246034831104238
1.4306666666666665,30.0,0.2236701976322207,0.22367132568143477,0.2223312869359076
1.446133333333333,30.0,0.2212811907970895,0.22127926840956955,0.22009303769476835
1.4615999999999998,30.0,0.21905535826690034,0.21893780183989842,0.21788887138387358
1.4770666666666665,30.0,0.21678942755788186,0.21664534459946247,0.2157188358748699
1.4925333333333333,30.0,0.21441602500236312,0.21440037915552093,0.21358289914705236
1.5079999999999998,30.0,0.21213234372027773,0.2122014488971371,0.21148095706147796
1.5234666666666665,30.0,0.21002453198957774,0.21004715532438453,0.20941284067917498
1.538933333333333,30.0,0.2079386272331476,0.20793615535057303,0.20737832312911356
1.5543999999999998,30.0,0.20584806572175016,0.20586715872026387,0.20537712603406608
1.5698666666666665,30.0,0.20380302847537365,0.20383892554377533,0.20340892550463047
1.5853333333333333,30.0,0.20181577777275594,0.20185026394727987,0.20147335771351313
1.6007999999999998,30.0,0.19997725716983167,0.19990002783638244,0.19957002406370608
1.6162666666666665,30.0,0.19802735439734304,0.19798711477017047,0.19769849596544714
1.631733333333333,30.0,0.19611162966100737,0.19611046394208587,0.19585831923785596
1.6471999999999998,30.0,0.19427577355117195,0.19426905426353316,0.19404901815190057
1.6626666666666665,30.0,0.19244810581154548,0.19246190254586393,0.19227009913189652
1.6781333333333333,30.0,0.19070137034572768,0.19068806177623462,0.1905210541330907
1.6935999999999998,30.0,0.188989694423575,0.18894661948278657,0.18880136371305156
1.7090666666666665,30.0,0.1871953527337881,0.18723669618462763,0.1871104998146019
1.724533333333333,30.0,0.18551064542122084,0.1855574439221796,0.18544792827790152
1.7399999999999998,30.0,0.1839996517427632,0.1839080448635803,0.18381311109903578
1.7554666666666665,30.0,0.18232958356170986,0.18228770998298557,0.18220550845211217
1.7709333333333332,30.0,0.18063465137272125,0.18069567780678603,0.18062458049141758
1.7863999999999998,30.0,0.17908078332233346,0.1791312132239404,0.17906978894966974
1.8018666666666665,30.0,0.17772357743303382,0.17759360635681437,0.1775405985478123
1.817333333333333,30.0,0.17615468018486935,0.1760821714891049,0.1760364782311725
1.8327999999999998,30.0,0.17457447202270576,0.17459624604761817,0.17455690224613046
1.8482666666666665,30.0,0.17309181514542038,0.17313518963485194,0.17310135107075691
1.8637333333333332,30.0,0.17170333777477453,0.17169838310951144,0.1716693122121614
1.8791999999999998,30.0,0.17029719085671333,0.17028522771225627,0.17026028088257583
1.8946666666666665,30.0,0.1688537232781925,0.16889514423413882,0.16887376056547473
1.910133333333333,30.0,0.1674722597035218,0.16752757222534767,0.16750926348231984
1.9255999999999998,30.0,0.16616541435986426,0.16618196924201434,0.16616631096981044
1.9410666666666665,30.0,0.16491120709854995,0.16485781012897893,0.16484443377683378
1.9565333333333332,30.0,0.1635564309808192,0.16355458633653772,0.16354317228963972
1.9719999999999998,30.0,0.16227171388721431,0.16227180526931764,0.16226207669311923
1.9874666666666665,30.0,0.16100080438585715,0.16100898966553392,0.16100070707544525
2.002933333333333,30.0,0.15975339573157107,0.15976567700499453,0.1597586334827429
2.0183999999999997,30.0,0.15854540196968706,0.15854141894431256,0.15853543592989236
2.0338666666666665,30.0,0.15731374534650253,0.1573357807778818,0.15733070437303429
2.0493333333333332,30.0,0.15608978185380043,0.1561483409232555,0.15614403864884574
2.0648,30.0,0.15496813738523435,0.15497869042965098,0.15497504838518145
2.0802666666666663,30.0,0.15388534552626046,0.1538264325083769,0.15382335288723525
2.095733333333333,30.0,0.15270160137701191,0.1526911820840518,0.1526885810029644
2.1111999999999997,30.0,0.15153709604439325,0.15157256536554797,0.15157037097113746
2.1266666666666665,30.0,0.15043912174836627,0.15047021943565705,0.1504683702550142
