sample,time,sigma_sq,sigma_sq_analytical,delta_sigma_sq,nu_num
0,0.0,0.16027641667872206,0.16,0.00027641667872205233,nan
1,1.0,0.19195436104611432,0.168,0.023954361046114314,0.0059885902615285785
2,2.0,0.19613375968614277,0.176,0.020133759686142783,0.002516719960767848
3,3.0,0.19761521054242334,0.184,0.013615210542423345,0.0011346008785352787
4,4.0,0.19776148142493974,0.192,0.005761481424939735,0.00036009258905873344
5,5.0,0.19839383897609905,0.2,-0.0016061610239009594,-8.030805119504797e-05
6,6.0,0.19923482599768738,0.20800000000000002,-0.008765174002312637,-0.0003652155834296932
7,7.0,0.1994587424171157,0.216,-0.0165412575828843,-0.000590759199388725
8,8.0,0.19935860034576103,0.224,-0.024641399654238977,-0.000770043739194968
9,9.0,0.19998078159744717,0.232,-0.03201921840255284,-0.0008894227334042456
10,10.0,0.20028566094287364,0.24,-0.03971433905712635,-0.0009928584764281588
11,11.0,0.20031197463819503,0.248,-0.04768802536180497,-0.0010838187582228403
12,12.0,0.20055317044896898,0.256,-0.05544682955103103,-0.0011551422823131464
13,13.0,0.20090701619810913,0.264,-0.06309298380189088,-0.0012133266115748247
14,14.0,0.20103983830330246,0.272,-0.07096016169669755,-0.001267145744583885
15,15.0,0.20083917030950127,0.28,-0.07916082969049876,-0.0013193471615083126
16,16.0,0.20107052088169045,0.28800000000000003,-0.08692947911830959,-0.0013582731112235873
17,17.0,0.20116073052584993,0.296,-0.09483926947415006,-0.0013946951393257361
18,18.0,0.20117075164296294,0.304,-0.10282924835703705,-0.0014281840049588479
19,19.0,0.2015901956838716,0.312,-0.1104098043161284,-0.0014527605831069527
20,20.0,0.20197430506093164,0.32,-0.11802569493906837,-0.0014753211867383545
21,21.0,0.2020127289992169,0.328,-0.1259872710007831,-0.001499848464295037
22,22.0,0.2021939963108482,0.336,-0.13380600368915183,-0.001520522769194907
23,23.0,0.20254351314751917,0.34400000000000003,-0.14145648685248086,-0.0015375705092660963
24,24.0,0.20275006302105197,0.352,-0.149249936978948,-0.0015546868435307084
25,25.0,0.20292551536529382,0.36,-0.15707448463470616,-0.0015707448463470617
26,26.0,0.20315426672739206,0.368,-0.16484573327260793,-0.0015850551276212301
27,27.0,0.2033910797716732,0.376,-0.1726089202283268,-0.0015982307428548778
28,28.0,0.20371169972086467,0.384,-0.18028830027913534,-0.001609716966777994
29,29.0,0.203896858962298,0.392,-0.188103141037702,-0.0016215788020491552
30,30.0,0.20421645891992432,0.4,-0.1957835410800757,-0.0016315295090006308
