sample,time,sigma_sq,sigma_sq_analytical,delta_sigma_sq,nu_num
0,0.0,0.16027641667872206,0.16,0.00027641667872205233,nan
1,1.0,0.1897487298475252,0.168,0.021748729847525183,0.005437182461881296
2,2.0,0.19203744280671325,0.176,0.016037442806713265,0.002004680350839158
3,3.0,0.19266798995185985,0.184,0.008667989951859856,0.0007223324959883213
4,4.0,0.19233664283177337,0.192,0.0003366428317733705,2.1040176985835657e-05
5,5.0,0.19292423340889342,0.2,-0.0070757665911065915,-0.0003537883295553296
6,6.0,0.1941034700054463,0.20800000000000002,-0.013896529994553708,-0.0005790220831064045
7,7.0,0.19462617312120659,0.216,-0.02137382687879341,-0.0007633509599569076
8,8.0,0.1950834555375912,0.224,-0.028916544462408794,-0.0009036420144502748
9,9.0,0.19622429714225206,0.232,-0.03577570285774795,-0.000993769523826332
10,10.0,0.19737307161393608,0.24,-0.04262692838606391,-0.0010656732096515978
11,11.0,0.1972115705599662,0.248,-0.05078842944003381,-0.0011542824872734956
12,12.0,0.19716181921491435,0.256,-0.05883818078508565,-0.0012257954330226178
13,13.0,0.19785546979194646,0.264,-0.06614453020805355,-0.0012720101963087222
14,14.0,0.1982715085489614,0.272,-0.07372849145103863,-0.0013165802044828327
15,15.0,0.1987265750716853,0.28,-0.08127342492831471,-0.0013545570821385786
16,16.0,0.19941958458567843,0.28800000000000003,-0.0885804154143216,-0.001384068990848775
17,17.0,0.19975876910783757,0.296,-0.09624123089216241,-0.0014153122190023884
18,18.0,0.2000055186850049,0.304,-0.10399448131499509,-0.0014443677960415983
19,19.0,0.20005585396848577,0.312,-0.11194414603151423,-0.0014729492898883452
20,20.0,0.20033640546681533,0.32,-0.11966359453318468,-0.0014957949316648084
21,21.0,0.20056518103678736,0.328,-0.12743481896321265,-0.001517081178133484
22,22.0,0.20070972255104463,0.336,-0.1352902774489554,-0.001537389516465402
23,23.0,0.2009500406023374,0.34400000000000003,-0.14304995939766263,-0.0015548908630180721
24,24.0,0.20135674476747156,0.352,-0.15064325523252842,-0.0015692005753388377
25,25.0,0.20132839806098454,0.36,-0.15867160193901544,-0.0015867160193901544
26,26.0,0.201125816120036,0.368,-0.166874183879964,-0.0016045594603842693
27,27.0,0.20106226678469438,0.376,-0.17493773321530562,-0.0016197938260676446
28,28.0,0.20136249800800043,0.384,-0.18263750199199957,-0.0016306919820714247
29,29.0,0.2013386208564031,0.392,-0.1906613791435969,-0.0016436325788241112
30,30.0,0.20164565393257253,0.4,-0.1983543460674275,-0.0016529528838952292
