test,method,ppc,flip_coef_pic,threads,repeat,run,step,time,max_div,i,j
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1275,12.75,0.00198275,0,243
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1300,13.0,0.0022419,0,128
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1325,13.25,0.00232827,0,243
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1350,13.5,0.00236332,0,128
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1375,13.75,0.00310099,78,3
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1400,14.0,0.00244051,0,120
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1425,14.25,0.00348198,0,128
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1450,14.5,0.00247695,0,128
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1475,14.75,0.00231005,0,144
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1500,15.0,0.00413619,96,7
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1525,15.25,0.00178833,0,243
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1550,15.5,0.00346124,0,96
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1575,15.75,0.00258625,0,64
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1600,16.0,0.00227008,0,144
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1625,16.25,0.00223976,0,236
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1650,16.5,0.00162663,0,192
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1675,16.75,0.00190978,0,243
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1700,17.0,0.00269163,0,144
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1725,17.25,0.00228502,0,243
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1750,17.5,0.00237808,0,144
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1775,17.75,0.0023447,0,243
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1800,18.0,0.00237659,0,243
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1825,18.25,0.00227694,0,152
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1850,18.5,0.00186861,0,128
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1875,18.75,0.00235073,99,7
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1900,19.0,0.00247356,0,152
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1925,19.25,0.00190379,0,243
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1950,19.5,0.00272033,0,136
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,1975,19.75,0.00262124,0,243
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,2000,20.0,0.00212371,0,243
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,2025,20.25,0.00191171,0,96
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,2050,20.5,0.00220917,0,64
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,2075,20.75,0.00275183,0,128
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,2100,21.0,0.00202931,40,12
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,2125,21.25,0.00206657,85,13
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,2150,21.5,0.00174999,0,96
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,2175,21.75,0.00191509,0,236
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,2200,22.0,0.00188388,63,2
