sample,time,kinetic_energy,ke_norm
0,0.0,85.19874572753906,1.0
1,1.0,84.83203887939453,0.9956958656490409
2,2.0,84.7223129272461,0.9944079834013452
3,3.0,84.62977600097656,0.9933218532537788
4,4.0,84.55433654785156,0.9924364006279119
5,5.0,84.48622131347656,0.9916369142764013
6,6.0,84.421630859375,0.9908787991944243
7,7.0,84.35826110839844,0.9901350118248401
8,8.0,84.29925537109375,0.9894424460270597
9,9.0,84.24270629882812,0.9887787147504694
10,10.0,84.18880462646484,0.9881460567001308
11,11.0,84.13536071777344,0.9875187715419395
12,12.0,84.08499908447266,0.9869276638575396
13,13.0,84.03387451171875,0.9863276013528942
14,14.0,83.98342895507812,0.9857355086382673
15,15.0,83.93550872802734,0.9851730563786528
16,16.0,83.88835144042969,0.9846195589392837
17,17.0,83.84054565429688,0.9840584499027059
18,18.0,83.79562377929688,0.9835311900866558
19,19.0,83.7511215209961,0.9830088554217407
20,20.0,83.70630645751953,0.982482849280525
21,21.0,83.66307067871094,0.9819753796172173
22,22.0,83.62117767333984,0.9814836704375415
23,23.0,83.57786560058594,0.9809753052922092
24,24.0,83.5356216430664,0.9804794768952205
25,25.0,83.4947509765625,0.9799997671746736
26,26.0,83.45490264892578,0.9795320569132555
27,27.0,83.41307067871094,0.9790410641191994
28,28.0,83.37088012695312,0.9785458625596279
29,29.0,83.33002471923828,0.9780663319354859
30,30.0,83.29067993164062,0.9776045318554298
31,31.0,83.25210571289062,0.9771517761438215
32,32.0,83.2140121459961,0.976704661968968
33,33.0,83.17505645751953,0.976247428847237
34,34.0,83.13714599609375,0.9758024638292423
35,35.0,83.0994644165039,0.9753601852573213
36,36.0,83.0605239868164,0.9749031312319952
37,37.0,83.02438354492188,0.9744789413969699
38,38.0,82.987060546875,0.9740408715905641
39,39.0,82.94943237304688,0.9735992198560602
40,40.0,82.91580963134766,0.9732045809278448
41,41.0,82.88156127929688,0.972802599047028
42,42.0,82.84513854980469,0.9723750959285119
43,43.0,82.80812072753906,0.9719406080502043
44,44.0,82.77191162109375,0.9715156122813569
45,45.0,82.7369155883789,0.9711048546766996
46,46.0,82.70441436767578,0.9707233793342449
47,47.0,82.67010498046875,0.9703206810678086
48,48.0,82.63472747802734,0.9699054460530286
49,49.0,82.6007308959961,0.9695064192628929
50,50.0,82.56697845458984,0.9691102580152358
51,51.0,82.5353012084961,0.9687384538786461
52,52.0,82.50360870361328,0.9683664706456515
53,53.0,82.46976470947266,0.9679692348195649
54,54.0,82.43577575683594,0.9675702975776316
55,55.0,82.40232849121094,0.9671777182580725
56,56.0,82.36943054199219,0.9667915864090902
57,57.0,82.33842468261719,0.9664276625143166
58,58.0,82.30661010742188,0.9660542465100826
59,59.0,82.2753677368164,0.965687546621033
60,60.0,82.24398040771484,0.9653191453161365
61,61.0,82.21195983886719,0.9649433115104364
62,62.0,82.18045806884766,0.9645735669825032
63,63.0,82.148681640625,0.9642005987192817
64,64.0,82.11843872070312,0.9638456296447533
65,65.0,82.0885009765625,0.9634942424983232
66,66.0,82.05740356445312,0.96312924402512
67,67.0,82.02531433105469,0.9627526042855978
68,68.0,81.9947738647461,0.9623941428311739
69,69.0,81.96337890625,0.962025651978075
70,70.0,81.93118286132812,0.9616477585637184
71,71.0,81.89998626708984,0.9612815959638834
