sample,time,sigma_sq,sigma_sq_excess
0,0.0,0.7202659686129657,0.0
1,0.004,0.7285399709009146,0.008274002287948945
2,0.008,0.7291876779681346,0.008921709355168894
3,0.012,0.7294706147669604,0.009204646153994744
4,0.016,0.7297479566647517,0.009481988051786017
5,0.02,0.7300542539902698,0.00978828537730414
6,0.024,0.73003768692128,0.009771718308314359
7,0.028,0.7297624685795383,0.009496499966572647
8,0.032,0.7295911892017376,0.009325220588771943
9,0.036000000000000004,0.729738294311339,0.009472325698373307
10,0.04,0.730011111161169,0.009745142548203356
11,0.044,0.7302472456228706,0.00998127700990492
12,0.048,0.7302235022120798,0.00995753359911411
13,0.052000000000000005,0.7301631944132196,0.009897225800253984
14,0.056,0.7301921287091933,0.009926160096227599
15,0.06,0.7303336691896436,0.01006770057667794
16,0.064,0.7304722645990266,0.010206295986060931
17,0.068,0.7305571181556696,0.010291149542703937
18,0.07200000000000001,0.7306150966034354,0.01034912799046972
19,0.076,0.730638083937727,0.010372115324761344
20,0.08,0.7306820804897189,0.010416111876753287
21,0.084,0.7307876993585776,0.010521730745611912
22,0.088,0.7308706684034204,0.010604699790454752
23,0.092,0.7309294943853943,0.010663525772428684
24,0.096,0.7309549529241198,0.01068898431115417
25,0.1,0.7309076324930841,0.010641663880118446
26,0.10400000000000001,0.7309141007113851,0.010648132098419416
27,0.108,0.7310325830621481,0.010766614449182477
28,0.112,0.73113220164824,0.010866233035274342
29,0.116,0.7311252280331411,0.010859259420175404
30,0.12,0.7310147252897112,0.010748756676745574
31,0.124,0.7309541702832305,0.010688201670264852
32,0.128,0.7310496216424394,0.010783653029473705
33,0.132,0.7311385652863442,0.010872596673378587
34,0.136,0.7311571176406237,0.010891149027658087
35,0.14,0.7311090207963988,0.010843052183433177
36,0.14400000000000002,0.731080888924013,0.01081492031104736
37,0.148,0.7311171105551665,0.010851141942200826
38,0.152,0.7311777098981577,0.010911741285192011
39,0.156,0.7311532761536271,0.010887307540661473
40,0.16,0.7310691729567133,0.010803204343747597
41,0.164,0.7310024455624151,0.010736476949449458
42,0.168,0.7310312295257408,0.010765260912775187
43,0.17200000000000001,0.7311284978634651,0.010862529250499464
44,0.176,0.7311964915364786,0.01093052292351293
45,0.18,0.7312069261598486,0.010940957546882957
46,0.184,0.7311726303490348,0.010906661736069134
47,0.188,0.7311709170176085,0.010904948404642845
48,0.192,0.7311736366867839,0.010907668073818266
49,0.196,0.7312796211896575,0.011013652576691846
50,0.2,0.7313890768897945,0.01112310827682883
51,0.20400000000000001,0.7314382206656979,0.011172252052732201
52,0.20800000000000002,0.7314203419427007,0.011154373329735012
