sample,time,kinetic_energy,ke_norm
0,0.0,85.19874572753906,1.0
1,1.0,84.83524322509766,0.9957334758940717
2,2.0,84.72432708740234,0.9944316241267931
3,3.0,84.6364517211914,0.9934002079309261
4,4.0,84.55817413330078,0.9924814433737464
5,5.0,84.486328125,0.9916381679512356
6,6.0,84.42142486572266,0.9908763813929581
7,7.0,84.35970306396484,0.990151936435104
8,8.0,84.30109405517578,0.9894640271438512
9,9.0,84.24227142333984,0.9887736105029296
10,10.0,84.1878890991211,0.9881353109158363
11,11.0,84.13491821289062,0.9875135777461971
12,12.0,84.08319091796875,0.986906440933558
13,13.0,84.03135681152344,0.9862980504460843
14,14.0,83.98249816894531,0.985724583757568
15,15.0,83.93698120117188,0.9851903391817264
16,16.0,83.88923645019531,0.9846299465307683
17,17.0,83.84354400634766,0.9840936423462704
18,18.0,83.79600524902344,0.9835356674967785
19,19.0,83.74940490722656,0.9829887070761885
20,20.0,83.70573425292969,0.9824761331653409
21,21.0,83.66340637207031,0.9819793197381252
22,22.0,83.62224578857422,0.981496207185885
23,23.0,83.58008575439453,0.9810013638191234
24,24.0,83.53658294677734,0.9804907599687298
25,25.0,83.4959487915039,0.9800138262424589
26,26.0,83.4554672241211,0.9795386834802372
27,27.0,83.41494750976562,0.9790630929770031
28,28.0,83.37593841552734,0.9786052330178551
29,29.0,83.3345718383789,0.9781197026641486
30,30.0,83.29706573486328,0.977679483700884
31,31.0,83.25737762451172,0.9772136539517174
32,32.0,83.21820831298828,0.9767539134803177
33,33.0,83.18071746826172,0.976313873613458
34,34.0,83.14447784423828,0.9758885196518008
35,35.0,83.1066665649414,0.9754447187604379
36,36.0,83.06692504882812,0.9749782621738543
37,37.0,83.03001403808594,0.974545027970381
38,38.0,82.9954605102539,0.9741394641614661
39,39.0,82.95804595947266,0.973700319776631
40,40.0,82.92137145996094,0.9732698615674338
41,41.0,82.8849105834961,0.9728419107079054
42,42.0,82.84972381591797,0.9724289143981868
43,43.0,82.81658172607422,0.972039917006726
44,44.0,82.78141784667969,0.9716271893416147
45,45.0,82.74568939208984,0.9712078351095219
46,46.0,82.71240997314453,0.9708172258504169
47,47.0,82.6780776977539,0.9704142589393732
48,48.0,82.64433288574219,0.9700181872399184
49,49.0,82.60856628417969,0.9695983852668133
50,50.0,82.5730972290039,0.9691820756736039
51,51.0,82.54090881347656,0.9688042718074499
52,52.0,82.50700378417969,0.9684063195957436
53,53.0,82.47389221191406,0.9680176803970926
54,54.0,82.4429931640625,0.9676550101771532
55,55.0,82.41187286376953,0.9672897430593427
56,56.0,82.37811279296875,0.9668934922634831
57,57.0,82.34484100341797,0.9665029725525804
58,58.0,82.3125,0.9661233777223773
