r,v_theta_sim
0.008866666666666667,0.03197951029338517
0.0266,0.07620459308279433
0.044333333333333336,0.11966747458332987
0.062066666666666666,0.15993424124971228
0.07980000000000001,0.19591524321607007
0.09753333333333333,0.23338666943389372
0.11526666666666666,0.2752556415745374
0.133,0.32003712301768683
0.15073333333333333,0.3669945932435595
0.16846666666666665,0.4178780821549326
0.1862,0.45873983474932845
0.20393333333333333,0.49990176588074176
0.22166666666666668,0.5434526572723148
0.2394,0.5837656074672463
0.2571333333333333,0.6250372876309581
0.2748666666666667,0.6691637057628108
0.29259999999999997,0.7130027209617845
0.31033333333333335,0.7580237924185628
0.3280666666666667,0.8036880517932454
0.3458,0.8432797383732961
0.3635333333333334,0.8854310431416322
0.38126666666666664,0.9278533774779159
0.399,0.9668961382811943
0.4167333333333333,1.0133576603363281
0.43446666666666667,1.0591537695683395
0.45220000000000005,1.1014975705103596
0.4699333333333333,1.1454812356235335
0.4876666666666667,1.1886561989805153
0.5054,1.2319103218187462
0.5231333333333333,1.274313719004178
0.5408666666666666,1.3125919325488238
0.5586,1.3567062973676436
0.5763333333333334,1.4021494404475832
0.5940666666666667,1.4476452408837865
0.6118,1.4916627020128592
0.6295333333333333,1.533736508753416
0.6472666666666667,1.5771718443822613
0.665,1.6215254620931585
0.6827333333333334,1.6650136670711495
0.7004666666666667,1.7052490603324202
0.7182,1.7479767824344987
0.7359333333333333,1.7912618273595589
0.7536666666666667,1.834062709646397
0.7714000000000001,1.8790490701349944
0.7891333333333334,1.9252641124576857
0.8068666666666666,1.966708218401062
0.8246,2.0090207532693034
0.8423333333333334,2.050880209462699
0.8600666666666666,2.093562758916668
0.8778,2.1372234590669095
0.8955333333333333,2.1784645390216855
0.9132666666666667,2.2201943133790953
0.931,2.264171844892355
0.9487333333333333,2.3060450065123987
0.9664666666666667,2.3461063889031397
0.9842,2.3853820643476276
1.0019333333333333,2.4220726704810422
1.0196666666666667,2.456453097298344
1.0373999999999999,2.4914850375566817
1.0551333333333335,2.523817567573498
1.0728666666666666,2.554513329343363
1.0906,2.582130298764918
1.1083333333333334,2.6060327497917526
1.1260666666666665,2.627196738721182
1.1438000000000001,2.6450730066042607
1.1615333333333333,2.65869574024053
1.1792666666666667,2.667826522919857
1.197,2.6736794399314827
1.2147333333333332,2.675870148661464
1.2324666666666668,2.674149582673559
1.2502,2.66897085291339
1.2679333333333334,2.6602506964405803
1.2856666666666667,2.6482693341284405
1.3034,2.6334249863077317
1.3211333333333335,2.616908983838519
1.3388666666666666,2.5975000128779495
1.3566,2.576156760057432
1.3743333333333334,2.5532257218069514
1.3920666666666666,2.528118578863362
1.4098000000000002,2.5025599681211865
1.4275333333333333,2.4771656835135247
1.4452666666666667,2.452367063580858
1.463,2.4273887184290914
1.4807333333333332,2.401345723055391
1.4984666666666668,2.3753323707528633
1.5162,2.3493140589111006
1.5339333333333334,2.3239535633174544
1.5516666666666667,2.298815388374383
1.5694,2.274500692255507
1.5871333333333335,2.2496030390149593
1.6048666666666667,2.225272712613179
1.6226,2.2023968630654784
1.6403333333333334,2.1799443118268136
1.6580666666666666,2.1575192009356003
1.6758000000000002,2.134759440781269
1.6935333333333333,2.111755130151684
1.7112666666666665,2.0905704025342784
1.729,2.0700476861372072
1.7467333333333332,2.049077298810759
1.7644666666666668,2.029238449850011
1.7822,2.0097365623418453
1.7999333333333332,1.9906088834023905
1.8176666666666668,1.9712419085059694
1.8354,1.9523127847145683
1.8531333333333335,1.9338348132898513
1.8708666666666667,1.9155181581805671
1.8885999999999998,1.898032721153291
1.9063333333333334,1.8805133247541135
1.9240666666666666,1.8635777141508587
1.9418000000000002,1.8471582469983805
1.9595333333333333,1.8309585358740326
1.9772666666666665,1.8143517982185209
1.995,1.7980690072795835
2.0127333333333333,1.7825774906009968
2.0304666666666664,1.7669227270291585
2.0482,1.7511701450104684
2.0659333333333336,1.736411930484513
2.083666666666667,1.7224243620518482
2.1014,1.7081525190374094
2.119133333333333,1.6936379786854021
2.1368666666666667,1.6798794800997292
2.1546000000000003,1.6661945420507065
2.1723333333333334,1.6526098052737992
2.1900666666666666,1.6387412386094238
2.2077999999999998,1.6249332970535337
2.2255333333333334,1.6115200813958512
2.243266666666667,1.5983295073451609
2.261,1.5849412515196932
2.2787333333333333,1.5713579722235724
2.2964666666666664,1.5565696839400494
2.3142,1.5401993264599259
2.3319333333333336,1.52252209497506
2.349666666666667,1.5039492289607121
2.3674,1.4823008725475237
2.385133333333333,1.4581136693586052
2.4028666666666667,1.4301155811474293
2.4206000000000003,1.397769275490114
2.4383333333333335,1.3615250177118008
2.4560666666666666,1.3160359664640269
2.4737999999999998,1.262370556063451
2.4915333333333334,1.2030082707927252
2.509266666666667,1.1324040237604391
2.527,1.0546854374381096
2.5447333333333333,0.968866639231077
2.5624666666666664,0.8754820407366735
2.5802,0.7743292044116002
2.5979333333333336,0.6612556918665976
2.615666666666667,0.5413655659739743
2.6334,0.4148676307337638
2.651133333333333,0.2122365180728185
