r,v_theta_sim
0.008866666666666667,0.034491602158388215
0.0266,0.07902003736928424
0.044333333333333336,0.11801497790566673
0.062066666666666666,0.15928319629122134
0.07980000000000001,0.19765250462133072
0.09753333333333333,0.23554128771782917
0.11526666666666666,0.27938833844493915
0.133,0.3234037733641997
0.15073333333333333,0.36883699496976907
0.16846666666666665,0.4164253266905787
0.1862,0.4588908462862096
0.20393333333333333,0.49889223368014807
0.22166666666666668,0.5415898596459475
0.2394,0.5841885252653967
0.2571333333333333,0.6254668672379604
0.2748666666666667,0.6687311965018111
0.29259999999999997,0.7122313379496173
0.31033333333333335,0.7578946391815036
0.3280666666666667,0.80215222965077
0.3458,0.8431557787908524
0.3635333333333334,0.8844312057165976
0.38126666666666664,0.9296802255866455
0.399,0.9702886540939237
0.4167333333333333,1.014911203978635
0.43446666666666667,1.0586919331980016
0.45220000000000005,1.1020690287360368
0.4699333333333333,1.1467370554225504
0.4876666666666667,1.189111901995683
0.5054,1.2306983337619797
0.5231333333333333,1.274508656881885
0.5408666666666666,1.3124310539334099
0.5586,1.3560185154587518
0.5763333333333334,1.4028089225148397
0.5940666666666667,1.4462336512837721
0.6118,1.4903346510480757
0.6295333333333333,1.534598789294335
0.6472666666666667,1.5769792603388753
0.665,1.620523911279717
0.6827333333333334,1.6647451819319985
0.7004666666666667,1.7050063681138266
0.7182,1.7470023298532837
0.7359333333333333,1.7903802871898318
0.7536666666666667,1.8340333136752978
0.7714000000000001,1.8801257883050784
0.7891333333333334,1.9250575345280847
0.8068666666666666,1.9664429391076572
0.8246,2.0092687314064093
0.8423333333333334,2.0512091057255795
0.8600666666666666,2.0922532546169204
0.8778,2.136011804182743
0.8955333333333333,2.1783881479173166
0.9132666666666667,2.220201072670697
0.931,2.2637628795109457
0.9487333333333333,2.3056124875843986
0.9664666666666667,2.345970965040913
0.9842,2.384830214642003
1.0019333333333333,2.4215761489169965
1.0196666666666667,2.4566470347551785
1.0373999999999999,2.491630391705266
1.0551333333333335,2.5246429228051155
1.0728666666666666,2.555455353886503
1.0906,2.5833790993671246
1.1083333333333334,2.606455295625729
1.1260666666666665,2.627024768426505
1.1438000000000001,2.645375962390966
1.1615333333333333,2.658879170390911
1.1792666666666667,2.668514462866956
1.197,2.6745539598850776
1.2147333333333332,2.6767091650019976
1.2324666666666668,2.6751230734116196
1.2502,2.6698905167271723
1.2679333333333334,2.6605931433372247
1.2856666666666667,2.6485456458956222
1.3034,2.6338671847777535
1.3211333333333335,2.61737694632141
1.3388666666666666,2.5979482332424637
1.3566,2.576836855453426
1.3743333333333334,2.5541431899102207
1.3920666666666666,2.528632911537359
1.4098000000000002,2.502826804760675
1.4275333333333333,2.476845590109692
1.4452666666666667,2.452108023151655
1.463,2.426965949222974
1.4807333333333332,2.401181913234586
1.4984666666666668,2.3753683980798193
1.5162,2.3494604718319403
1.5339333333333334,2.323872948123469
1.5516666666666667,2.299058390472684
1.5694,2.2740944398523397
1.5871333333333335,2.2496836774732705
1.6048666666666667,2.22566781421451
1.6226,2.2025076939099075
1.6403333333333334,2.1799162813130613
1.6580666666666666,2.157329438245116
1.6758000000000002,2.1343032666028563
1.6935333333333333,2.1120075948810038
1.7112666666666665,2.0906638412727463
1.729,2.070516138291408
1.7467333333333332,2.0497670457656483
1.7644666666666668,2.0292453739500735
1.7822,2.0095559788356088
1.7999333333333332,1.9906820683040969
1.8176666666666668,1.9719343909066067
1.8354,1.9527192587622597
1.8531333333333335,1.9340508972191714
1.8708666666666667,1.9159242520490953
1.8885999999999998,1.8980703879686547
1.9063333333333334,1.8808397444254679
1.9240666666666666,1.8637229184374406
1.9418000000000002,1.8470170846214249
1.9595333333333333,1.8309309952273125
1.9772666666666665,1.8147378391190623
1.995,1.7981772535201928
2.0127333333333333,1.7825909692052275
2.0304666666666664,1.7670385618740387
2.0482,1.7510855091329078
2.0659333333333336,1.7364333098518212
2.083666666666667,1.7224635165432045
2.1014,1.7082493356199862
2.119133333333333,1.69367564060663
2.1368666666666667,1.679564315202298
2.1546000000000003,1.6661780989307364
2.1723333333333334,1.6529216291616615
2.1900666666666666,1.6390274228331954
2.2077999999999998,1.6250353297773912
2.2255333333333334,1.611442454817089
2.243266666666667,1.598592189912315
2.261,1.5848603066041518
2.2787333333333333,1.5714088085323366
2.2964666666666664,1.5564635108012106
2.3142,1.5402588837849975
2.3319333333333336,1.5225530233738243
2.349666666666667,1.5039670705069985
2.3674,1.4831212487983485
2.385133333333333,1.4583947850331327
2.4028666666666667,1.4301705864189487
2.4206000000000003,1.39817027197162
2.4383333333333335,1.36218978083482
2.4560666666666666,1.3166028932662588
2.4737999999999998,1.2636826003151738
2.4915333333333334,1.204610830342644
2.509266666666667,1.1354054284642847
2.527,1.0571238731507044
2.5447333333333333,0.9728603714433062
2.5624666666666664,0.8805244315846836
2.5802,0.7780038817049882
2.5979333333333336,0.6674998524289316
2.615666666666667,0.5489606055732897
2.6334,0.420055841224329
2.651133333333333,0.21332249553138816
