sample,time,kinetic_energy,ke_norm
0,0.0,13.63179874420166,1.0
1,0.016,13.478215217590332,0.9887334364676814
2,0.032,13.385129928588867,0.9819048960271869
3,0.048,13.305956840515137,0.9760969252993761
4,0.064,13.234575271606445,0.9708605239815343
5,0.08,13.16832160949707,0.9660002950893233
6,0.096,13.106087684631348,0.9614349456417902
7,0.112,13.046975135803223,0.9570985737559253
8,0.128,12.990204811096191,0.9529340224907316
9,0.14400000000000002,12.935505867004395,0.9489214233379556
10,0.16,12.882513046264648,0.9450339817952694
11,0.176,12.831164360046387,0.9412671504928265
12,0.192,12.781172752380371,0.9375998716102594
13,0.20800000000000002,12.732322692871094,0.9340163342924086
14,0.224,12.68464469909668,0.9305187772444296
15,0.24,12.637840270996094,0.9270853031315217
16,0.256,12.591872215270996,0.923713183531777
17,0.272,12.546736717224121,0.9204021386070511
18,0.28800000000000003,12.502232551574707,0.9171374068952258
19,0.304,12.458535194396973,0.9139318609509446
20,0.32,12.415581703186035,0.9107808834448243
21,0.336,12.373161315917969,0.9076690133193862
22,0.352,12.331124305725098,0.9045852669274618
23,0.368,12.289608001708984,0.9015397184422502
24,0.384,12.24862003326416,0.8985329275400401
25,0.4,12.208094596862793,0.8955600670128404
26,0.41600000000000004,12.16796875,0.8926165195312683
27,0.432,12.128252029418945,0.8897029846906848
28,0.448,12.08891773223877,0.8868175036240789
29,0.464,12.049878120422363,0.8839536400541291
30,0.48,12.011228561401367,0.8811183899344458
31,0.496,11.972895622253418,0.878306366380749
32,0.512,11.934890747070312,0.875518408907472
33,0.528,11.897196769714355,0.8727532582429649
34,0.544,11.859820365905762,0.8700114041039803
35,0.56,11.822855949401855,0.8672997724845927
36,0.5760000000000001,11.78618335723877,0.8646095484832528
37,0.592,11.749831199645996,0.8619428308860438
38,0.608,11.713606834411621,0.8592854878666728
39,0.624,11.677685737609863,0.8566503919797828
40,0.64,11.641952514648438,0.8540290781215053
41,0.656,11.606555938720703,0.8514324599794725
42,0.672,11.571404457092285,0.8488538214382183
43,0.6880000000000001,11.536482810974121,0.8462920431451653
44,0.704,11.50169849395752,0.8437403390253112
45,0.72,11.467220306396484,0.8412110919165464
46,0.736,11.432939529418945,0.8386963264317552
47,0.752,11.398940086364746,0.8362021990101145
48,0.768,11.36513614654541,0.8337224132933753
49,0.784,11.331475257873535,0.8312531215070516
50,0.8,11.297866821289062,0.8287876774952135
51,0.8160000000000001,11.264744758605957,0.8263579128467885
52,0.8320000000000001,11.231793403625488,0.8239406709553262
53,0.848,11.199000358581543,0.821535042346857
54,0.864,11.16632080078125,0.8191377389231842
55,0.88,11.133930206298828,0.8167616332389509
56,0.896,11.101666450500488,0.8143948321730194
57,0.912,11.069525718688965,0.8120370558872454
58,0.928,11.037638664245605,0.8096978888380749
59,0.9440000000000001,11.00571060180664,0.807355713528852
60,0.96,10.974139213562012,0.805039703086132
61,0.976,10.942697525024414,0.8027332071403221
62,0.992,10.911273002624512,0.8004279704661621
63,1.008,10.880000114440918,0.7981338573582426
64,1.024,10.848905563354492,0.7958528266835745
65,1.04,10.817916870117188,0.7935795615174139
66,1.056,10.787039756774902,0.7913144816169776
