run,method,ppc,flip_coef,r,time,v_theta_sim,v_theta_analytical_t0,v_theta_analytical_tfin
lamb_pic_ppc3_t4,pic,3,,0.0077333333333333325,30.0,0.014467369695970251,0.01546377647862493,0.006186204202009305
lamb_pic_ppc3_t4,pic,3,,0.03866666666666666,30.0,0.03220931169946122,0.07697313763084156,0.030875594331291792
lamb_pic_ppc3_t4,pic,3,,0.054133333333333325,30.0,0.04862768494004327,0.10728123392613535,0.04314842006066083
lamb_pic_ppc3_t4,pic,3,,0.0696,30.0,0.06428162811771032,0.13711389636699797,0.05534420337472609
lamb_pic_ppc3_t4,pic,3,,0.08506666666666665,30.0,0.07823887377239126,0.16634336488088888,0.06744145753886514
lamb_pic_ppc3_t4,pic,3,,0.10053333333333332,30.0,0.08705460439935161,0.19484776488965766,0.07941908533310482
lamb_pic_ppc3_t4,pic,3,,0.11599999999999999,30.0,0.10101430819502609,0.2225122274027084,0.09125646063303075
lamb_pic_ppc3_t4,pic,3,,0.13146666666666665,30.0,0.114281657382436,0.2492299026962175,0.10293350707063813
lamb_pic_ppc3_t4,pic,3,,0.1469333333333333,30.0,0.12702234879423213,0.2749028536919152,0.11443077330383672
lamb_pic_ppc3_t4,pic,3,,0.1624,30.0,0.1376157204115696,0.2994428176187504,0.12572950445199108
lamb_pic_ppc3_t4,pic,3,,0.17786666666666665,30.0,0.15010209265627733,0.32277182720270803,0.13681170928710906
lamb_pic_ppc3_t4,pic,3,,0.1933333333333333,30.0,0.16326645534860326,0.3448226854158362,0.14766022280572327
lamb_pic_ppc3_t4,pic,3,,0.20879999999999999,30.0,0.17633073440849825,0.3655392906551092,0.15825876384479315
lamb_pic_ppc3_t4,pic,3,,0.22426666666666664,30.0,0.1888144436626389,0.3848768120454449,0.16859198744564402
lamb_pic_ppc3_t4,pic,3,,0.2397333333333333,30.0,0.19881482058418715,0.40280171730180325,0.178645531712686
lamb_pic_ppc3_t4,pic,3,,0.2552,30.0,0.2080860646425793,0.4192916581799597,0.1884060589579137
