run,method,ppc,flip_coef,sample,time,sigma_sq,sigma_sq_excess
rankine_pic_ppc2_t4,pic,2,,69,1.104,0.8870713072740697,0.16678118355284965
rankine_pic_ppc2_t4,pic,2,,70,1.12,0.8884646159469801,0.16817449222576009
rankine_pic_ppc2_t4,pic,2,,71,1.1360000000000001,0.8898591757606333,0.1695690520394133
rankine_pic_ppc2_t4,pic,2,,72,1.1520000000000001,0.8911130462077181,0.1708229224864981
rankine_pic_ppc2_t4,pic,2,,73,1.168,0.8924714977382879,0.1721813740170679
rankine_pic_ppc2_t4,pic,2,,74,1.184,0.8939856465547802,0.17369552283356016
rankine_pic_ppc2_t4,pic,2,,75,1.2,0.8951731343857979,0.1748830106645779
rankine_pic_ppc2_t4,pic,2,,76,1.216,0.8965713405391285,0.17628121681790843
rankine_pic_ppc2_t4,pic,2,,77,1.232,0.8977818336993851,0.1774917099781651
rankine_pic_ppc2_t4,pic,2,,78,1.248,0.899056024324492,0.17876590060327202
rankine_pic_ppc2_t4,pic,2,,79,1.264,0.9003717147327656,0.18008159101154553
rankine_pic_ppc2_t4,pic,2,,80,1.28,0.9015440656371059,0.18125394191588584
rankine_pic_ppc2_t4,pic,2,,81,1.296,0.9028459642832964,0.1825558405620764
rankine_pic_ppc2_t4,pic,2,,82,1.312,0.9038644580763472,0.18357433435512716
rankine_pic_ppc2_t4,pic,2,,83,1.328,0.90495116191381,0.18466103819258994
rankine_pic_ppc2_t4,pic,2,,84,1.344,0.9061000614007997,0.18580993767957965
rankine_pic_ppc2_t4,pic,2,,85,1.36,0.9071491280321243,0.1868590043109043
rankine_pic_ppc2_t4,pic,2,,86,1.3760000000000001,0.9082151783790999,0.1879250546578799
rankine_pic_ppc2_t4,pic,2,,87,1.3920000000000001,0.9093182303556155,0.1890281066343955
rankine_pic_ppc2_t4,pic,2,,88,1.408,0.9102848063649494,0.18999468264372932
rankine_pic_ppc2_t4,pic,2,,89,1.424,0.9112236090759764,0.1909334853547564
rankine_pic_ppc2_t4,pic,2,,90,1.44,0.9122752274721764,0.19198510375095634
rankine_pic_ppc2_t4,pic,2,,91,1.456,0.9131840141263747,0.1928938904051547
rankine_pic_ppc2_t4,pic,2,,92,1.472,0.9141681858008014,0.19387806207958136
rankine_pic_ppc2_t4,pic,2,,93,1.488,0.9151349273670021,0.19484480364578205
rankine_pic_ppc2_t4,pic,2,,94,1.504,0.9160624462903081,0.19577232256908805
rankine_pic_ppc2_t4,pic,2,,95,1.52,0.9169372621630526,0.19664713844183257
rankine_pic_ppc2_t4,pic,2,,96,1.536,0.9176836765552738,0.1973935528340538
rankine_pic_ppc2_t4,pic,2,,97,1.552,0.9185663999215037,0.19827627620028365
rankine_pic_ppc2_t4,pic,2,,98,1.568,0.919457383595141,0.19916725987392092
rankine_pic_ppc2_t4,pic,2,,99,1.584,0.9202643812042292,0.19997425748300912
rankine_pic_ppc2_t4,pic,2,,100,1.6,0.9211900356725101,0.2008999119512901
rankine_pic_ppc2_t4,pic,2,,101,1.616,0.9218923706190911,0.2016022468978711
rankine_pic_ppc2_t4,pic,2,,102,1.6320000000000001,0.922709976594148,0.20241985287292796
rankine_pic_ppc2_t4,pic,2,,103,1.6480000000000001,0.9233983031751928,0.20310817945397275
rankine_pic_ppc2_t4,pic,2,,104,1.6640000000000001,0.9241788306451395,0.20388870692391947
rankine_pic_ppc2_t4,pic,2,,105,1.68,0.9248558353457735,0.2045657116245535
rankine_pic_ppc2_t4,pic,2,,106,1.696,0.9255242642326026,0.20523414051138256
rankine_pic_ppc2_t4,pic,2,,107,1.712,0.9262703766135595,0.20598025289233945
rankine_pic_ppc2_t4,pic,2,,108,1.728,0.9268379393804401,0.2065478156592201
rankine_pic_ppc2_t4,pic,2,,109,1.744,0.9275180173081302,0.20722789358691018
rankine_pic_ppc2_t4,pic,2,,110,1.76,0.9281896848648946,0.20789956114367458
rankine_pic_ppc2_t4,pic,2,,111,1.776,0.9287351593508663,0.20844503562964622
rankine_pic_ppc2_t4,pic,2,,112,1.792,0.9294135734135311,0.20912344969231111
rankine_pic_ppc2_t4,pic,2,,113,1.808,0.9299029091376139,0.20961278541639383
rankine_pic_ppc2_t4,pic,2,,114,1.824,0.9305040513415769,0.21021392762035684
rankine_pic_ppc2_t4,pic,2,,115,1.84,0.9311193367410608,0.2108292130198408
rankine_pic_ppc2_t4,pic,2,,116,1.856,0.931533035511332,0.211242911790112
rankine_pic_ppc2_t4,pic,2,,117,1.872,0.9321943827125854,0.21190425899136534
rankine_pic_ppc2_t4,pic,2,,118,1.8880000000000001,0.9325886527458914,0.2122985290246714
rankine_pic_ppc2_t4,pic,2,,119,1.9040000000000001,0.933189689221175,0.21289956549995492
rankine_pic_ppc2_t4,pic,2,,120,1.92,0.9336394348324419,0.2133493111112219
rankine_pic_ppc2_t4,pic,2,,121,1.936,0.9340750460463364,0.21378492232511637
rankine_pic_ppc2_t4,pic,2,,122,1.952,0.9346531157071384,0.21436299198591835
rankine_pic_ppc2_t4,pic,2,,123,1.968,0.934958502676514,0.214668378955294
rankine_pic_ppc2_t4,pic,2,,124,1.984,0.9354816252280009,0.2151915015067809
rankine_pic_ppc2_t4,pic,2,,125,2.0,0.9359697706213334,0.21567964690011332
rankine_pic_ppc2_t4,pic,2,,126,2.016,0.9362682463619475,0.21597812264072747
rankine_pic_ppc2_t4,pic,2,,127,2.032,0.9368079988570633,0.2165178751358433
rankine_pic_ppc2_t4,pic,2,,128,2.048,0.9371156345963775,0.21682551087515745
rankine_pic_ppc2_t4,pic,2,,129,2.064,0.9375503939619962,0.2172602702407762
rankine_pic_ppc2_t4,pic,2,,130,2.08,0.9380087561130445,0.21771863239182443
rankine_pic_ppc2_t4,pic,2,,131,2.096,0.9381538221014507,0.21786369838023067
rankine_pic_ppc2_t4,pic,2,,132,2.112,0.9387111375702081,0.21842101384898804
rankine_pic_ppc2_t4,pic,2,,133,2.128,0.938900369564487,0.21861024584326694
rankine_pic_ppc2_t4,pic,2,,134,2.144,0.9392908700313436,0.21900074631012356
rankine_pic_ppc2_t4,pic,2,,135,2.16,0.939631942556314,0.21934181883509396
rankine_pic_ppc2_t4,pic,2,,136,2.176,0.9398212206027423,0.21953109688152228
rankine_pic_ppc2_t4,pic,2,,137,2.192,0.940210946963071,0.21992082324185092
rankine_pic_ppc2_t4,pic,2,,138,2.208,0.9404692165288786,0.22017909280765857
rankine_pic_ppc2_t4,pic,2,,139,2.224,0.9408232890741058,0.2205331653528858
rankine_pic_ppc2_t4,pic,2,,140,2.24,0.9410602407013071,0.22077011698008708
rankine_pic_ppc2_t4,pic,2,,141,2.2560000000000002,0.9413560328595263,0.22106590913830626
rankine_pic_ppc2_t4,pic,2,,142,2.2720000000000002,0.9416573271812424,0.22136720346002237
rankine_pic_ppc2_t4,pic,2,,143,2.2880000000000003,0.9418984743708726,0.22160835064965256
rankine_pic_ppc2_t4,pic,2,,144,2.3040000000000003,0.94212924080695,0.22183911708573
rankine_pic_ppc2_t4,pic,2,,145,2.32,0.9423192933787617,0.22202916965754171
rankine_pic_ppc2_t4,pic,2,,146,2.336,0.9426376613665375,0.22234753764531745
rankine_pic_ppc2_t4,pic,2,,147,2.352,0.9428099360413462,0.2225198123201262
rankine_pic_ppc2_t4,pic,2,,148,2.368,0.9430334846909372,0.22274336096971714
rankine_pic_ppc2_t4,pic,2,,149,2.384,0.9432085122658084,0.22291838854458834
rankine_pic_ppc2_t4,pic,2,,150,2.4,0.9433652894525454,0.22307516573132535
rankine_pic_ppc2_t4,pic,2,,151,2.416,0.9435085999378379,0.22321847621661783
rankine_pic_ppc2_t4,pic,2,,152,2.432,0.9437204345004166,0.22343031077919662
rankine_pic_ppc2_t4,pic,2,,153,2.448,0.9438641692168541,0.2235740454956341
rankine_pic_ppc2_t4,pic,2,,154,2.464,0.94400791057799,0.22371778685677002
rankine_pic_ppc2_t4,pic,2,,155,2.48,0.9443292290021696,0.2240391052809496
rankine_pic_ppc2_t4,pic,2,,156,2.496,0.9444162374926552,0.2241261137714352
rankine_pic_ppc2_t4,pic,2,,157,2.512,0.944622263952684,0.22433214023146397
rankine_pic_ppc2_t4,pic,2,,158,2.528,0.9446653296947903,0.2243752059735703
