time,normVelocity
0.0,0.0
1.0,4.996389389038086
2.0,4.998507499694824
3.0,4.995424270629883
4.0,4.997859954833984
5.0,4.999410152435303
6.0,4.998061180114746
7.0,5.000301837921143
8.0,5.005115985870361
9.0,5.0078606605529785
10.0,5.012341499328613
11.0,5.017477035522461
12.0,5.020660877227783
13.0,5.022010326385498
14.0,5.0272417068481445
15.0,5.029195308685303
16.0,5.0328521728515625
17.0,5.040653228759766
18.0,5.054182052612305
19.0,5.071968078613281
20.0,5.095322132110596
21.0,5.123468399047852
22.0,5.155619144439697
23.0,5.192847728729248
24.0,5.235703468322754
25.0,5.284961223602295
26.0,5.341671943664551
27.0,5.40277624130249
28.0,5.4717020988464355
29.0,5.543054103851318
30.0,5.61614990234375
31.0,5.691894054412842
32.0,5.767574310302734
33.0,5.842594623565674
34.0,5.913141250610352
35.0,5.970096588134766
36.0,6.017446994781494
37.0,6.057600021362305
38.0,6.091801643371582
39.0,6.115749835968018
40.0,6.13625955581665
41.0,6.1596150398254395
42.0,6.190654277801514
43.0,6.232430934906006
44.0,6.3036298751831055
45.0,6.41331148147583
46.0,6.557949542999268
47.0,6.739068508148193
48.0,6.951925277709961
49.0,7.206386566162109
50.0,7.533780097961426
51.0,7.894271373748779
52.0,8.309674263000488
53.0,8.718955993652344
54.0,8.965555191040039
55.0,8.86427116394043
56.0,8.332808494567871
57.0,7.4731831550598145
58.0,6.372654438018799
59.0,5.108052730560303
60.0,3.8183188438415527
61.0,2.6746633052825928
62.0,2.3193342685699463
63.0,2.878699779510498
64.0,3.284921169281006
65.0,3.5811405181884766
66.0,4.246131420135498
67.0,4.964697360992432
68.0,5.675843238830566
69.0,6.3801069259643555
70.0,7.101013660430908
71.0,7.865472316741943
72.0,8.71562385559082
73.0,6.713810920715332
74.0,5.773993492126465
75.0,5.669288635253906
76.0,5.169249534606934
77.0,4.592089653015137
78.0,3.5699360370635986
79.0,2.528721332550049
80.0,3.1931681632995605
81.0,4.225454807281494
82.0,5.008629322052002
83.0,5.616594314575195
84.0,6.226359844207764
85.0,6.879796504974365
86.0,7.717928886413574
87.0,8.965304374694824
88.0,6.988913059234619
89.0,6.349385738372803
90.0,5.666078090667725
91.0,5.116886615753174
92.0,4.508114337921143
93.0,3.3669369220733643
94.0,2.061309337615967
95.0,2.9315381050109863
96.0,4.010146141052246
97.0,4.797983169555664
98.0,5.440141201019287
99.0,6.03367805480957
100.0,6.622241973876953
101.0,7.142003536224365
102.0,7.415354251861572
103.0,5.321042537689209
104.0,4.5632100105285645
105.0,4.2267889976501465
106.0,3.7817108631134033
107.0,3.2053003311157227
108.0,2.8071959018707275
109.0,3.1667680740356445
110.0,3.868445873260498
111.0,4.586331844329834
112.0,5.244865417480469
113.0,5.869924545288086
114.0,6.510382175445557
115.0,7.162291049957275
116.0,7.834307670593262
117.0,5.953154563903809
118.0,4.9767045974731445
119.0,4.679060459136963
120.0,4.2538981437683105
121.0,3.615813732147217
122.0,2.7609663009643555
123.0,2.642507553100586
124.0,3.442394495010376
125.0,4.2653326988220215
126.0,4.978681564331055
127.0,5.613035202026367
128.0,6.234061241149902
129.0,6.8903422355651855
130.0,7.548099517822266
131.0,7.2979583740234375
132.0,5.222078323364258
133.0,4.843264102935791
134.0,4.465670108795166
135.0,3.9590559005737305
136.0,3.193129062652588
137.0,2.498685121536255
138.0,2.9236326217651367
139.0,3.792024612426758
140.0,4.566486835479736
141.0,5.242833137512207
142.0,5.866127967834473
143.0,6.497408390045166
144.0,7.148771286010742
145.0,7.821083068847656
146.0,6.181110382080078
147.0,4.977679252624512
148.0,4.69041109085083
149.0,4.27886962890625
150.0,3.685206890106201
151.0,2.8572287559509277
152.0,2.593994140625
153.0,3.331380844116211
154.0,4.15128231048584
155.0,4.8669633865356445
156.0,5.501935005187988
157.0,6.11470890045166
158.0,6.758594989776611
159.0,7.401824951171875
160.0,7.809326648712158
161.0,5.543052673339844
162.0,4.9261860847473145
163.0,4.603802680969238
164.0,4.142128944396973
165.0,3.4482927322387695
166.0,2.624533176422119
167.0,2.726517677307129
168.0,3.5669045448303223
169.0,4.362719535827637
170.0,5.056425094604492
171.0,5.6829514503479
172.0,6.300730228424072
173.0,6.955121040344238
174.0,7.6060333251953125
175.0,7.136553764343262
176.0,5.148161888122559
177.0,4.793806076049805
178.0,4.430691719055176
179.0,3.911565065383911
180.0,3.1108648777008057
181.0,2.48622727394104
182.0,3.010688543319702
183.0,3.8647308349609375
184.0,4.621079921722412
185.0,5.276657581329346
186.0,5.884863376617432
187.0,6.506051063537598
188.0,7.171976566314697
189.0,7.900299549102783
190.0,6.444878578186035
191.0,5.05640983581543
192.0,4.774168968200684
193.0,4.3554182052612305
194.0,3.7595648765563965
195.0,2.880825996398926
196.0,2.4522619247436523
197.0,3.169461965560913
198.0,4.024643898010254
199.0,4.7602081298828125
200.0,5.397289752960205
