time,normVelocity
0.0,0.0
1.0,4.9934611320495605
2.0,5.000466346740723
3.0,4.994821548461914
4.0,4.998354434967041
5.0,4.997612476348877
6.0,4.997219562530518
7.0,5.002574920654297
8.0,5.004232883453369
9.0,5.0074687004089355
10.0,5.018949031829834
11.0,5.029307842254639
12.0,5.038388729095459
13.0,5.0521368980407715
14.0,5.065533638000488
15.0,5.077891826629639
16.0,5.089106559753418
17.0,5.104889869689941
18.0,5.120919704437256
19.0,5.137655735015869
20.0,5.1586174964904785
21.0,5.185092449188232
22.0,5.216651916503906
23.0,5.25164270401001
24.0,5.292669296264648
25.0,5.340634346008301
26.0,5.396026611328125
27.0,5.46298360824585
28.0,5.546566486358643
29.0,5.642287254333496
30.0,5.738722801208496
31.0,5.826013088226318
32.0,5.909241676330566
33.0,6.005255222320557
34.0,6.074432849884033
35.0,6.12960147857666
36.0,6.176910400390625
37.0,6.175439357757568
38.0,6.112776279449463
39.0,6.010398864746094
40.0,5.89777946472168
41.0,5.759669303894043
42.0,5.632970333099365
43.0,5.571375370025635
44.0,5.611877918243408
45.0,5.750274181365967
46.0,6.012965202331543
47.0,6.344913959503174
48.0,6.803416728973389
49.0,7.33153772354126
50.0,7.907700061798096
51.0,8.612229347229004
52.0,9.190702438354492
53.0,9.058958053588867
54.0,7.903998374938965
55.0,6.558814525604248
56.0,6.170560359954834
57.0,5.622354507446289
58.0,4.826688766479492
59.0,3.8346493244171143
60.0,2.455097198486328
61.0,1.109985113143921
62.0,2.2295618057250977
63.0,3.457524061203003
64.0,4.347866058349609
65.0,5.073071002960205
66.0,5.7007670402526855
67.0,6.298397064208984
68.0,6.833594799041748
69.0,7.014797687530518
70.0,5.990972518920898
71.0,4.905570030212402
72.0,4.4287004470825195
73.0,4.055968284606934
74.0,3.7915120124816895
75.0,3.7651920318603516
76.0,3.8858978748321533
77.0,4.25098991394043
78.0,4.80066442489624
79.0,5.464512348175049
80.0,6.213991165161133
81.0,7.091231346130371
82.0,7.639551162719727
83.0,6.85914421081543
84.0,6.5572733879089355
85.0,6.072331428527832
86.0,5.497365474700928
87.0,4.843600749969482
88.0,4.228491306304932
89.0,3.8629939556121826
90.0,3.98245906829834
91.0,4.447826862335205
92.0,5.1070075035095215
93.0,5.900609016418457
94.0,6.859564781188965
95.0,7.530426502227783
96.0,7.037379741668701
97.0,6.769110202789307
98.0,6.240808010101318
99.0,5.59758996963501
100.0,4.8973388671875
101.0,4.195431232452393
102.0,3.8094141483306885
103.0,3.9987738132476807
104.0,4.502317428588867
105.0,5.172101020812988
106.0,5.973207950592041
107.0,6.969873905181885
108.0,7.640583038330078
109.0,7.169245719909668
110.0,6.824474334716797
111.0,6.279544353485107
112.0,5.604769229888916
113.0,4.867753028869629
114.0,4.134120941162109
115.0,3.6903319358825684
116.0,3.8982431888580322
117.0,4.43684196472168
118.0,5.1082611083984375
119.0,5.854477405548096
120.0,6.735025405883789
121.0,7.589280128479004
122.0,7.078358173370361
123.0,6.618772029876709
124.0,6.051878929138184
125.0,5.425008773803711
126.0,4.75027322769165
127.0,4.082283020019531
128.0,3.6024723052978516
129.0,3.692570686340332
130.0,4.149511337280273
131.0,4.785374164581299
132.0,5.516488552093506
133.0,6.352177619934082
134.0,7.272493839263916
135.0,7.262074947357178
136.0,6.78565788269043
137.0,6.374786853790283
138.0,5.7999958992004395
139.0,5.159257411956787
140.0,4.487887382507324
141.0,3.848315954208374
142.0,3.6687521934509277
143.0,3.973261833190918
144.0,4.544046878814697
145.0,5.24185848236084
146.0,6.0075154304504395
147.0,6.973367214202881
148.0,7.974141597747803
149.0,7.272682189941406
150.0,6.811043739318848
151.0,6.22185754776001
152.0,5.5192131996154785
153.0,4.755892276763916
154.0,3.8966126441955566
155.0,3.2692313194274902
156.0,3.464050769805908
157.0,4.143345355987549
158.0,4.87946891784668
159.0,5.635196685791016
160.0,6.461121082305908
161.0,7.399848937988281
162.0,7.54216194152832
163.0,6.723092079162598
164.0,6.138857841491699
165.0,5.547846794128418
166.0,4.896790027618408
167.0,4.224599361419678
168.0,3.6509740352630615
169.0,3.574368476867676
170.0,3.959409475326538
171.0,4.546014785766602
172.0,5.210372447967529
173.0,5.978362083435059
174.0,6.948984146118164
175.0,7.934762477874756
176.0,7.186381816864014
177.0,6.643679141998291
178.0,6.027379035949707
179.0,5.354349613189697
180.0,4.63203763961792
181.0,3.9450502395629883
182.0,3.5865092277526855
183.0,3.8221187591552734
184.0,4.382267951965332
185.0,5.0321946144104
186.0,5.73427152633667
187.0,6.533445835113525
188.0,7.4346466064453125
189.0,7.019294261932373
190.0,6.340662956237793
191.0,5.815983772277832
192.0,5.18848991394043
193.0,4.480292320251465
194.0,3.7100162506103516
195.0,3.264901876449585
196.0,3.620969772338867
197.0,4.313712120056152
198.0,5.063516616821289
199.0,5.839732646942139
200.0,6.574486255645752
