time,normVelocity
0.0,0.0
1.0,4.994512557983398
2.0,5.001028537750244
3.0,4.99564790725708
4.0,4.999133110046387
5.0,4.999879360198975
6.0,4.997674465179443
7.0,5.004590034484863
8.0,5.009787082672119
9.0,5.0164103507995605
10.0,5.0293145179748535
11.0,5.042272090911865
12.0,5.056575775146484
13.0,5.070886135101318
14.0,5.087338924407959
15.0,5.10445499420166
16.0,5.12488317489624
17.0,5.150158882141113
18.0,5.175703525543213
19.0,5.2027268409729
20.0,5.234442710876465
21.0,5.269679546356201
22.0,5.309959411621094
23.0,5.347207546234131
24.0,5.387423038482666
25.0,5.423155784606934
26.0,5.448258876800537
27.0,5.459813594818115
28.0,5.455293655395508
29.0,5.433879375457764
30.0,5.384557247161865
31.0,5.319381237030029
32.0,5.254323959350586
33.0,5.217561721801758
34.0,5.244808673858643
35.0,5.341477870941162
36.0,5.511202812194824
37.0,5.770999431610107
38.0,6.104750156402588
39.0,6.539045810699463
40.0,7.00421667098999
41.0,7.58949613571167
42.0,8.22296142578125
43.0,8.968997955322266
44.0,9.055670738220215
45.0,7.638551712036133
46.0,6.082701206207275
47.0,5.824183940887451
48.0,5.359452247619629
49.0,4.537351608276367
50.0,3.4659454822540283
51.0,2.0438249111175537
52.0,1.2280582189559937
53.0,2.4130160808563232
54.0,3.479454755783081
55.0,4.357929706573486
56.0,5.074923992156982
57.0,5.703030586242676
58.0,6.307188510894775
59.0,6.846858978271484
60.0,6.936544895172119
61.0,5.565051555633545
62.0,4.930707931518555
63.0,4.480782508850098
64.0,4.072680473327637
65.0,3.815574884414673
66.0,3.75972843170166
67.0,3.9334752559661865
68.0,4.365742206573486
69.0,4.930845260620117
70.0,5.575735569000244
71.0,6.288177013397217
72.0,7.192109107971191
73.0,7.835424423217773
74.0,6.754880905151367
75.0,6.354307174682617
76.0,5.880833148956299
77.0,5.306186199188232
78.0,4.649146556854248
79.0,3.9951868057250977
80.0,3.464303493499756
81.0,3.53582501411438
82.0,4.019448280334473
83.0,4.670405864715576
84.0,5.382497310638428
85.0,6.1785054206848145
86.0,7.216858386993408
87.0,8.275672912597656
88.0,7.560554504394531
89.0,6.966439247131348
90.0,6.295799732208252
91.0,5.607151508331299
92.0,4.8508453369140625
93.0,4.111863136291504
94.0,3.594634532928467
95.0,3.7707200050354004
96.0,4.381608963012695
97.0,5.125258445739746
98.0,5.974234580993652
99.0,6.8835344314575195
100.0,7.30674934387207
101.0,6.769872665405273
102.0,6.413868427276611
103.0,5.864016056060791
104.0,5.213835716247559
105.0,4.567336559295654
106.0,4.023074626922607
107.0,3.8735036849975586
108.0,4.0818705558776855
109.0,4.542245864868164
110.0,5.154067516326904
111.0,5.890138149261475
112.0,6.8661298751831055
113.0,8.029950141906738
114.0,7.4626898765563965
115.0,6.992876052856445
116.0,6.4282145500183105
117.0,5.762979030609131
118.0,4.977667331695557
119.0,4.177948951721191
120.0,3.606839179992676
121.0,3.7597553730010986
122.0,4.34193754196167
123.0,5.099489212036133
124.0,5.947619915008545
125.0,6.879339218139648
126.0,7.361751556396484
127.0,6.870303630828857
128.0,6.472675800323486
129.0,5.906234264373779
130.0,5.256206512451172
131.0,4.565025806427002
132.0,3.9565858840942383
133.0,3.8018555641174316
134.0,4.074571132659912
135.0,4.604876518249512
136.0,5.257795810699463
137.0,6.041082859039307
138.0,7.058500289916992
139.0,7.933143615722656
140.0,7.44814395904541
141.0,6.916319847106934
142.0,6.301424980163574
143.0,5.602558612823486
144.0,4.811853885650635
145.0,4.066534519195557
146.0,3.6300997734069824
147.0,3.8589980602264404
148.0,4.445478916168213
149.0,5.1514482498168945
150.0,5.925849914550781
151.0,6.776507377624512
152.0,7.384072303771973
153.0,6.455338954925537
154.0,5.939419269561768
155.0,5.436949729919434
156.0,4.873161792755127
157.0,4.270400047302246
158.0,3.7289273738861084
159.0,3.6057627201080322
160.0,3.904406785964966
161.0,4.459606647491455
162.0,5.112436294555664
163.0,5.853529930114746
164.0,6.752239227294922
165.0,7.669437408447266
166.0,6.873688220977783
167.0,6.424564361572266
168.0,5.886600494384766
169.0,5.287890911102295
170.0,4.602390766143799
171.0,3.9364638328552246
172.0,3.659464120864868
173.0,3.970193862915039
174.0,4.569396018981934
175.0,5.278872013092041
176.0,6.088197231292725
177.0,6.9902729988098145
178.0,7.421743869781494
179.0,6.638862133026123
180.0,6.2301836013793945
181.0,5.678293228149414
182.0,5.006990909576416
183.0,4.293789386749268
184.0,3.677377462387085
185.0,3.6277670860290527
186.0,4.06792688369751
187.0,4.706210136413574
188.0,5.408115863800049
189.0,6.254872798919678
190.0,7.398560523986816
191.0,7.66416072845459
192.0,7.301287651062012
193.0,6.6687798500061035
194.0,5.885119438171387
195.0,5.01220703125
196.0,4.091999053955078
197.0,3.39188551902771
198.0,3.490612030029297
199.0,4.14086389541626
200.0,4.900221347808838
