run,step,time,kinetic_energy,velocity_l2
falling-block-water_flip_ppc3_coefpic0_t4_r1,20,20.0,23.60609245300293,4.858610018162988
falling-block-water_flip_ppc3_coefpic0_t4_r1,21,21.0,20.91324806213379,4.573100378333336
falling-block-water_flip_ppc3_coefpic0_t4_r1,22,22.0,18.52164649963379,4.303678137106968
falling-block-water_flip_ppc3_coefpic0_t4_r1,23,23.0,15.40208625793457,3.9245490137004917
falling-block-water_flip_ppc3_coefpic0_t4_r1,24,24.0,14.302306175231934,3.7818387971329503
falling-block-water_flip_ppc3_coefpic0_t4_r1,25,25.0,13.062174797058105,3.6141631525110696
falling-block-water_flip_ppc3_coefpic0_t4_r1,26,26.0,11.838852882385254,3.4407633657464007
falling-block-water_flip_ppc3_coefpic0_t4_r1,27,27.0,10.546266555786133,3.247501481006687
falling-block-water_flip_ppc3_coefpic0_t4_r1,28,28.0,9.650744438171387,3.1065646651171916
falling-block-water_flip_ppc3_coefpic0_t4_r1,29,29.0,9.029519081115723,3.0049158129586178
falling-block-water_flip_ppc3_coefpic0_t4_r1,30,30.0,7.115962982177734,2.667576151567948
falling-block-water_flip_ppc3_coefpic0_t4_r1,31,31.0,6.198885917663574,2.489756112161767
falling-block-water_flip_ppc3_coefpic0_t4_r1,32,32.0,5.658710479736328,2.3788043902659246
falling-block-water_flip_ppc3_coefpic0_t4_r1,33,33.0,5.1687116622924805,2.2734800522220473
falling-block-water_flip_ppc3_coefpic0_t4_r1,34,34.0,4.844953536987305,2.2011255332854716
falling-block-water_flip_ppc3_coefpic0_t4_r1,35,35.0,4.7059454917907715,2.1693191177349433
falling-block-water_flip_ppc3_coefpic0_t4_r1,36,36.0,4.441335201263428,2.1074475424178343
falling-block-water_flip_ppc3_coefpic0_t4_r1,37,37.0,4.27107048034668,2.066656781244734
falling-block-water_flip_ppc3_coefpic0_t4_r1,38,38.0,4.119579792022705,2.0296747196960987
falling-block-water_flip_ppc3_coefpic0_t4_r1,39,39.0,3.9697139263153076,1.9924140496184994
falling-block-water_flip_ppc3_coefpic0_t4_r1,40,40.0,3.808173418045044,1.951454129046706
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,0,0.0,0.0,0.0
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,1,1.0,1.1998175382614136,1.095361779773636
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,2,2.0,4.868430137634277,2.2064518736209657
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,3,3.0,10.93664836883545,3.3070603183520486
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,4,4.0,19.45828628540039,4.411154600794374
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,5,5.0,30.40353775024414,5.5139400755040855
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,6,6.0,43.74641799926758,6.614107348359641
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,7,7.0,42.38602066040039,6.510454708222191
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,8,8.0,35.84777069091797,5.987300606674723
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,9,9.0,27.106555938720703,5.206395603081008
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,10,10.0,17.593976974487305,4.194517499162598
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,11,11.0,9.760127067565918,3.124120090965365
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,12,12.0,6.935769081115723,2.633584827372901
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,13,13.0,10.007258415222168,3.1634249936468684
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,14,14.0,16.223888397216797,4.027888617967235
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,15,15.0,23.969873428344727,4.895903700735443
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,16,16.0,30.852163314819336,5.554472349912051
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,17,17.0,25.470327377319336,5.046813563867552
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,18,18.0,23.855985641479492,4.884258785805555
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,19,19.0,23.249401092529297,4.8217631022337155
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,20,20.0,24.298948287963867,4.929396286961138
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,21,21.0,23.03548240661621,4.79952924327285
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,22,22.0,21.235347747802734,4.608182578814288
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,23,23.0,17.301790237426758,4.159541988101725
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,24,24.0,13.375319480895996,3.6572282678984678
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,25,25.0,9.872353553771973,3.1420301582933607
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,26,26.0,8.150293350219727,2.854871795501507
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,27,27.0,7.035592555999756,2.6524691612471556
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,28,28.0,7.547048091888428,2.7471891707422973
