run,step,time,vorticity_l2,enstrophy
falling-block-water_flip_ppc3_coefpic0_t4_r1,21,21.0,50.31631196739284,1265.8656250000001
falling-block-water_flip_ppc3_coefpic0_t4_r1,22,22.0,42.23858573626726,892.0490625000001
falling-block-water_flip_ppc3_coefpic0_t4_r1,23,23.0,35.55978240934554,632.2490625
falling-block-water_flip_ppc3_coefpic0_t4_r1,24,24.0,35.178845516517455,618.7755859375001
falling-block-water_flip_ppc3_coefpic0_t4_r1,25,25.0,33.26076306062445,553.1391796875
falling-block-water_flip_ppc3_coefpic0_t4_r1,26,26.0,28.22256272692117,398.25652343750005
falling-block-water_flip_ppc3_coefpic0_t4_r1,27,27.0,24.5608006727692,301.61646484375
falling-block-water_flip_ppc3_coefpic0_t4_r1,28,28.0,24.524728432492378,300.73115234375
falling-block-water_flip_ppc3_coefpic0_t4_r1,29,29.0,23.153015968497495,268.03107421875
falling-block-water_flip_ppc3_coefpic0_t4_r1,30,30.0,15.285882477796301,116.8291015625
falling-block-water_flip_ppc3_coefpic0_t4_r1,31,31.0,9.770472796741979,47.731069335937505
falling-block-water_flip_ppc3_coefpic0_t4_r1,32,32.0,8.862414602021563,39.27119628906251
falling-block-water_flip_ppc3_coefpic0_t4_r1,33,33.0,7.6701799298484525,29.415830078125005
falling-block-water_flip_ppc3_coefpic0_t4_r1,34,34.0,6.886011423190678,23.708576660156254
falling-block-water_flip_ppc3_coefpic0_t4_r1,35,35.0,6.632452323848623,21.994711914062503
falling-block-water_flip_ppc3_coefpic0_t4_r1,36,36.0,6.495327722799097,21.094641113281252
falling-block-water_flip_ppc3_coefpic0_t4_r1,37,37.0,6.1012968091960795,18.61291137695313
falling-block-water_flip_ppc3_coefpic0_t4_r1,38,38.0,5.811568935846305,16.887166748046877
falling-block-water_flip_ppc3_coefpic0_t4_r1,39,39.0,5.631771965265462,15.858427734375002
falling-block-water_flip_ppc3_coefpic0_t4_r1,40,40.0,5.658657766188353,16.010203857421878
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,0,0.0,0.0,0.0
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,1,1.0,3.602504960744329,6.48902099609375
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,2,2.0,7.096692327569761,25.181520996093752
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,3,3.0,10.725588652988936,57.5191259765625
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,4,4.0,14.246693009914617,101.484130859375
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,5,5.0,17.80823139642873,158.56655273437502
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,6,6.0,21.450587295281686,230.06384765625003
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,7,7.0,31.728015272389797,503.3334765625001
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,8,8.0,41.931983616328004,879.1456250000001
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,9,9.0,43.88869800415593,963.1089062500001
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,10,10.0,40.5023321087811,820.2194531250002
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,11,11.0,32.19991265516104,518.4171875000001
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,12,12.0,27.719322852028693,384.1804296875
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,13,13.0,30.188775852955683,455.68109375000006
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,14,14.0,38.39093724435495,736.93203125
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,15,15.0,48.54677512461564,1178.3946875000001
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,16,16.0,58.35270452172718,1702.5190625
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,17,17.0,57.39759359067243,1647.2418750000002
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,18,18.0,57.16479193961962,1633.9067187500002
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,19,19.0,57.47278160138067,1651.5603125000002
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,20,20.0,57.7187252977749,1665.7256250000003
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,21,21.0,53.71512822287591,1442.6575000000003
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,22,22.0,46.926654872257835,1101.05546875
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,23,23.0,39.45876011736811,778.496875
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,24,24.0,29.363915461838534,431.11976562500007
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,25,25.0,23.6005313102269,278.49253906250004
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,26,26.0,23.38317036353283,273.38632812500003
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,27,27.0,21.371978039304178,228.38072265625001
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,28,28.0,22.15508812186266,245.42396484375
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,29,29.0,24.197329236663702,292.75537109375
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,30,30.0,21.345502307277755,227.81523437500002
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,31,31.0,12.001104278617447,72.013251953125
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,32,32.0,8.412625660744244,35.386135253906254
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,33,33.0,8.283661500300608,34.30952392578126
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,34,34.0,8.066263959096089,32.532307128906254
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,35,35.0,8.22029096770607,33.786591796875
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,36,36.0,7.768008939916651,30.170981445312506
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,37,37.0,7.5887676556375085,28.794697265625004
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,38,38.0,8.222398786052342,33.803920898437504
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,39,39.0,8.594905036015524,36.9361962890625
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,40,40.0,6.536422144654138,21.362407226562503
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,0,0.0,0.0,0.0
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,1,1.0,3.6491136284634247,6.65801513671875
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,2,2.0,7.069793316573159,24.990988769531253
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,3,3.0,10.766000084177039,57.95337890625
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,4,4.0,14.35431732202023,103.023212890625
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,5,5.0,17.67288375768086,156.16541015625
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,6,6.0,21.531128446681564,231.79474609375004
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,7,7.0,34.45844871000435,593.6923437500001
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,8,8.0,45.376918003540084,1029.53234375
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,9,9.0,47.32768580598464,1119.954921875
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,10,10.0,42.21450617086501,891.032265625
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,11,11.0,34.686930175499825,601.5915625000001
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,12,12.0,32.07181516729292,514.3006640625001
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,13,13.0,36.490118525430965,665.7643750000001
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,14,14.0,44.90306921581197,1008.1428125000001
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,15,15.0,54.58201970429457,1489.5984375
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,16,16.0,60.23844287496151,1814.3350000000003
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,17,17.0,57.120735617637145,1631.3892187500003
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,18,18.0,53.61467849386025,1437.2668750000003
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,19,19.0,48.59073503508668,1180.5297656250002
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,20,20.0,47.213322404804345,1114.54890625
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,21,21.0,47.046923052947896,1106.7064843750002
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,22,22.0,45.63225627229055,1041.15140625
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,23,23.0,32.86808268480229,540.1554296875
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,24,24.0,27.421581373071835,375.97156250000006
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,25,25.0,25.993160158010802,337.82218750000004
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,26,26.0,25.867285987807072,334.55824218750007
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,27,27.0,24.476166660141047,299.54136718750004
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,28,28.0,26.219175354118217,343.72257812500004
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,29,29.0,23.85469440828157,284.52322265625
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,30,30.0,25.91627444772879,335.82664062500004
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,31,31.0,14.758853275237884,108.91187500000001
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,32,32.0,8.92521062864205,39.82969238281251
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,33,33.0,8.51703744020258,36.269963378906255
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,34,34.0,8.856482111460792,39.21863769531251
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,35,35.0,8.841251027233788,39.083859863281255
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,36,36.0,7.7395699094208394,29.95047119140625
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,37,37.0,7.31009475667467,26.71874267578125
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,38,38.0,7.465997139113435,27.870556640625
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,39,39.0,7.715484190189395,29.76434814453125
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,40,40.0,7.797749199488593,30.4024462890625
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,0,0.0,0.0,0.0
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,1,1.0,3.63576190755631,6.60938232421875
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,2,2.0,7.069648622147002,24.989965820312502
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,3,3.0,10.765913457673948,57.95244628906251
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,4,4.0,14.354311199078833,103.02312500000001
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,5,5.0,17.672898677247318,156.16567382812502
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,6,6.0,21.53113026091524,231.79478515625001
