test,method,ppc,flip_coef_pic,threads,repeat,run,status,returncode,wall_time_s,reported_time_s,final_kinetic_energy,final_normalized_ke,final_enstrophy,final_mean_abs_vorticity,final_max_abs_vorticity,max_div,config
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,ok,0,26.503716584062204,26.4754,,,,,,0.0418087,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_vorticity/configs/falling-block-water/falling-block-water_pic_ppc3_t32_r0.json
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,ok,0,72.20942551689222,72.1775,,,,,,0.722019,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_vorticity/configs/falling-block-water/falling-block-water_flip_ppc3_coefpic0_t32_r0.json
falling-block-water,flip,3,0.05,32,0,falling-block-water_flip_ppc3_coefpic0p05_t32_r0,ok,0,32.023744824924506,31.9941,,,,,,0.72958,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_vorticity/configs/falling-block-water/falling-block-water_flip_ppc3_coefpic0p05_t32_r0.json
falling-block-water,flip,3,0.1,32,0,falling-block-water_flip_ppc3_coefpic0p1_t32_r0,ok,0,32.12048977497034,32.0904,,,,,,0.313585,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_vorticity/configs/falling-block-water/falling-block-water_flip_ppc3_coefpic0p1_t32_r0.json
falling-block-water,apic,3,,32,0,falling-block-water_apic_ppc3_t32_r0,ok,0,39.99282231403049,39.9438,,,,,,0.536463,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_vorticity/configs/falling-block-water/falling-block-water_apic_ppc3_t32_r0.json
