run,method,ppc,flip_coef,sample,time,normVelocity
vk_pic_ppc3_t4,pic,3,,76,3.8,1.082390308380127
vk_pic_ppc3_t4,pic,3,,77,3.85,1.0825350284576416
vk_pic_ppc3_t4,pic,3,,78,3.9000000000000004,1.0820600986480713
vk_pic_ppc3_t4,pic,3,,79,3.95,1.0817641019821167
vk_pic_ppc3_t4,pic,3,,80,4.0,1.0821013450622559
vk_pic_ppc3_t4,pic,3,,81,4.050000000000001,1.0825927257537842
vk_pic_ppc3_t4,pic,3,,82,4.1000000000000005,1.0826466083526611
vk_pic_ppc3_t4,pic,3,,83,4.15,1.0826002359390259
vk_pic_ppc3_t4,pic,3,,84,4.2,1.0823880434036255
vk_pic_ppc3_t4,pic,3,,85,4.25,1.0825926065444946
vk_pic_ppc3_t4,pic,3,,86,4.3,1.0818939208984375
vk_pic_ppc3_t4,pic,3,,87,4.35,1.0808473825454712
vk_pic_ppc3_t4,pic,3,,88,4.4,1.081001877784729
vk_pic_ppc3_t4,pic,3,,89,4.45,1.0814306735992432
vk_pic_ppc3_t4,pic,3,,90,4.5,1.0817699432373047
vk_pic_ppc3_t4,pic,3,,91,4.55,1.082039713859558
vk_pic_ppc3_t4,pic,3,,92,4.6000000000000005,1.081653356552124
vk_pic_ppc3_t4,pic,3,,93,4.65,1.0810987949371338
vk_pic_ppc3_t4,pic,3,,94,4.7,1.080242395401001
vk_pic_ppc3_t4,pic,3,,95,4.75,1.0791411399841309
vk_pic_ppc3_t4,pic,3,,96,4.8,1.0787367820739746
vk_pic_ppc3_t4,pic,3,,97,4.85,1.078033685684204
vk_pic_ppc3_t4,pic,3,,98,4.9,1.0767302513122559
vk_pic_ppc3_t4,pic,3,,99,4.95,1.0754177570343018
vk_pic_ppc3_t4,pic,3,,100,5.0,1.0750343799591064
vk_pic_ppc3_t4,pic,3,,101,5.05,1.0758870840072632
vk_pic_ppc3_t4,pic,3,,102,5.1,1.0763828754425049
